image_filename,part_number,product_id,product_title,status,action_taken,image_type,image_url,resolution,size_kb,notes
#831-00114.jpg,831/00114,2ccbedd04bf442ca,THRUST WASHER_SB,REPLACED_GEMINI_AI,Replaced with Gemini regenerated asset,GEMINI_REGENERATED_STUDIO_ASSET,/images/products/831-00114-thrust-washer-sb.webp,1024x1024,74,Watermark completely eliminated; 1024x1024 studio asset deployed.
02-100073.jpg,02/100073,0b57e84f328dcca6,FILTERELEMENT,REPLACED_GEMINI_AI,Replaced with Gemini regenerated asset,GEMINI_REGENERATED_STUDIO_ASSET,/images/products/02-100073-filterelement.webp,1024x1024,23,Watermark completely eliminated; 1024x1024 studio asset deployed.
02-100078.jpg,02/100078,cc9c7930aa19ed1c,RING STARTER,REPLACED_GEMINI_AI,Replaced with Gemini regenerated asset,GEMINI_REGENERATED_STUDIO_ASSET,/images/products/02-100078-ring-starter.webp,1024x1024,36,Watermark completely eliminated; 1024x1024 studio asset deployed.
02-100192.jpg,02/100192,7af8bf88f8ab9e47,THERMOSTAT,REPLACED_GEMINI_AI,Replaced with Gemini regenerated asset,GEMINI_REGENERATED_STUDIO_ASSET,/images/products/02-100192-thermostat.webp,1024x1024,124,Watermark completely eliminated; 1024x1024 studio asset deployed.
02-100284.jpg,02/100284,0deb5719e2d25358,OIL FILTER,REPLACED_GEMINI_AI,Replaced with Gemini regenerated asset,GEMINI_REGENERATED_STUDIO_ASSET,/images/products/02-100284-oil-filter.webp,1024x1024,74,Watermark completely eliminated; 1024x1024 studio asset deployed.
02-103618.jpg,N/A,N/A,N/A,IGNORED_NOT_ON_WEBSITE,Ignored completely per matching rule,N/A,N/A,N/A,N/A,Part Number does not exist in website catalog. Image discarded without processing.
02-192069.jpg,02/192069,b9f1af253bfb1b22,BUSH,REPLACED_GEMINI_AI,Replaced with Gemini regenerated asset,GEMINI_REGENERATED_STUDIO_ASSET,/images/products/02-192069-bush.webp,1024x1024,136,Watermark completely eliminated; 1024x1024 studio asset deployed.
02-200018.jpg,02/200018,feaee3adc020f628,PULLEY,REPLACED_GEMINI_AI,Replaced with Gemini regenerated asset,GEMINI_REGENERATED_STUDIO_ASSET,/images/products/02-200018-pulley.webp,1024x1024,128,Watermark completely eliminated; 1024x1024 studio asset deployed.
02-200145.jpg,02/200145,9bae6532ca9c7d29,GASKET,REPLACED_GEMINI_AI,Replaced with Gemini regenerated asset,GEMINI_REGENERATED_STUDIO_ASSET,/images/products/02-200145-gasket.webp,1024x1024,47,Watermark completely eliminated; 1024x1024 studio asset deployed.
02-200877.jpg,N/A,N/A,N/A,IGNORED_NOT_ON_WEBSITE,Ignored completely per matching rule,N/A,N/A,N/A,N/A,Part Number does not exist in website catalog. Image discarded without processing.
